Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angle_0,angle_1,angle_2,angle_3,polynomial,first_timestamp,sync_timestamp,first_sweep
1709637590.3472033,1397,1709637590,347723721,,0.8024708006152208,0.7994595739611681,0.8212472173937853,0.8184090826281603,11,1742179,1367979,False
1709637590.3472033,1398,1709637590,351647130,,-0.42679900063233145,-0.43815273178772696,-0.42396062744812735,-0.43552750481323965,11,1963618,1839479,True
1709637590.3673685,1399,1709637590,368283083,,0.8052426550158556,0.8024841520556505,0.8239389631518419,0.8212071630724962,11,2213902,1839479,False
1709637590.3774319,1400,1709637590,384007312,,-0.4168311966772533,-0.4282649172659374,-0.4138328446264721,-0.42525321377472647,10,2435864,2310985,True
1709637590.3774319,1401,1709637590,384007995,,0.8076149198779161,0.8049627516039903,0.8263913366564806,0.8237792227038438,10,2685598,2310984,False
1709637590.387522,1402,1709637590,391674013,,-0.40728980435089834,-0.41869682205872305,-0.40379840267853506,-0.41535204781250723,10,2908084,2782488,True
1709637590.4076738,1403,1709637590,407730241,,0.8099466535815294,0.807415125108629,0.8286696645983751,0.8261777136096056,10,3157284,2782491,False
1709637590.4076738,1404,1709637590,413925948,,-0.3975219143743969,-0.4089289320822216,-0.3938439501638866,-0.40523761643128164,11,3380325,3253992,True
1709637590.4178,1405,1709637590,423659274,,0.8118926260241563,0.8095337126025255,0.8307086202868517,0.8283101293810899,11,3628953,3253998,False
1709637590.4379573,1406,1709637590,444390133,,-0.3878073109503246,-0.39914769066529043,-0.383916081320808,-0.395229877364204,10,3852556,3725497,True
1709637590.4379573,1407,1709637590,444396789,,0.8140245649584825,0.8117057058581407,0.8326674673327501,0.8304954740771349,10,4100617,3725499,False
1709637590.4480438,1408,1709637590,453619626,,-0.37831920517639883,-0.38959294689850577,-0.37393504513458975,-0.3853020085211254,10,4324782,4196999,True
1709637590.4682553,1409,1709637590,472309031,,0.8159300062426622,0.8138648245104845,0.8345867368945177,0.8325344297656114,10,4572278,4197001,False
1709637590.4682553,1410,1709637590,475662654,,-0.36860460175232657,-0.3798783434744335,-0.3639138354177929,-0.3752542151327587,11,4797008,4668501,True
1709637590.4783428,1411,1709637590,479869845,,0.8176094267138536,0.8155571195849474,0.8361989233264024,0.8342133733996446,11,5043914,4668503,False
1709637590.498523,1412,1709637590,503833998,,-0.35924977196411856,-0.370483578574226,-0.35429257286743887,-0.3655663145895458,11,5269209,5140002,True
1709637590.498523,1413,1709637590,503834784,,0.8193284246691759,0.8173428747424181,0.8379713270434435,0.8360391828784044,11,5515541,5140002,False
1709637590.508599,1414,1709637590,511769923,,-0.35001486672119864,-0.361128748786018,-0.344871105086372,-0.35599821938233145,11,5741414,5611504,True
1709637590.5287833,1415,1709637590,531862808,,0.8210207197436388,0.8191553327807481,0.839517233110338,0.8377181265124376,11,5987185,5611505,False
1709637590.5287833,1416,1709637590,531863917,,-0.3405801667089916,-0.3517072810049511,-0.33502322567658194,-0.3461503399725414,11,6213630,6083012,True
1709637590.538867,1417,1709637590,539666207,,0.822620031572252,0.8209806654223497,0.8409963819750841,0.8394371244677599,11,6458825,6083013,False
1709637590.5590653,1418,1709637590,564107211,,-0.3311720503683544,-0.34231251610474356,-0.32544189823822745,-0.3365290774221874,11,6685842,6554517,True
1709637590.5590653,1419,1709637590,567807821,,0.8240324232348497,0.8224464628466661,0.8424488279589708,0.8409029218920763,11,6930441,6554516,False
1709637590.5590653,1420,1709637590,567808986,,-0.3219371451254345,-0.33306425942139395,-0.3159937275763012,-0.32714754475312,11,7158032,7026019,True
1709637590.5893712,1421,1709637590,595819640,,0.8253785345324571,0.8239122602709825,0.8438082906970079,0.842355367875963,11,7402053,7026019,False
1709637590.5893712,1422,1709637590,595820727,,-0.31263560188965567,-0.32365614308075674,-0.3064124001379467,-0.3175396336431957,10,7630237,7497517,True
1709637590.599485,1423,1709637590,599804453,,0.8264309141406114,0.8250719282397325,0.8448606703051622,0.8435283872851427,10,7873639,7497521,False
1709637590.6196558,1424,1709637590,624489792,,-0.3033741129751659,-0.3143413676138378,-0.29703098667816885,-0.3079982413168407,10,8102439,7969021,True
1709637590.6196558,1425,1709637590,624491103,,0.8277369711169298,0.8264709684619005,0.8460336897143419,0.8448606703051622,10,8345250,7969023,False
1709637590.6196558,1426,1709637590,627657398,,-0.2941125048513866,-0.30501324070648916,-0.28754288090424307,-0.29837685955719717,10,8574635,8440519,True
1709637590.6499147,1427,1709637590,656150364,,0.8287764761218126,0.8276039335497911,0.8470331403979356,0.8459402296313341,10,8816834,8440522,False
1709637590.6499147,1428,1709637590,656151478,,-0.28503757847504385,-0.29589826000885733,-0.2782812727804638,-0.2891686571951366,10,9046821,8912021,True
1709637590.6499147,1429,1709637590,659635396,,0.829455969072252,0.8283768865832384,0.8477126333483751,0.8466597769030626,10,9288391,8912025,False
1709637590.6700664,1430,1709637590,671900677,,-0.2759892357702709,-0.28680998219208487,-0.2689265622015453,-0.2797738922949291,11,9519010,9383523,True
1709637590.680153,1431,1709637590,684856389,,0.8310819837817247,0.8301621649035509,0.8492051336535509,0.8482724401721056,11,9760028,9383526,False
1709637590.680153,1432,1709637590,688855845,,-0.26686102284149893,-0.27766829861359366,-0.25953167809204825,-0.2704057110662914,11,9991200,9855029,True
1709637590.6902382,1433,1709637590,699729233,,0.831974622941881,0.8311616155871446,0.8500314924487169,0.8492718908556993,11,10231610,9855032,False
1709637590.7104363,1434,1709637590,719749674,,-0.2577593935842968,-0.2684467448111034,-0.25012356175141104,-0.2608776701803661,11,10463398,10326533,True
1709637590.7104363,1435,1709637590,719750988,,0.8328677389391954,0.8321477148303087,0.8508707258471544,0.8502045843371446,11,10703190,10326536,False
1709637590.7205207,1436,1709637590,727883579,,-0.2488576783056713,-0.2593984021063305,-0.2409686459417797,-0.2515627755041576,10,10935579,10798039,True
1709637590.7407167,1437,1709637590,747966131,,0.8336139890917833,0.8330007765063341,0.8514572355517442,0.850844022966295,10,11174758,10798040,False
1709637590.7407167,1438,1709637590,747967176,,-0.24003583325104483,-0.25059002770142325,-0.23184043301300772,-0.24246114624695547,11,11407745,11269543,True
1709637590.7508292,1439,1709637590,759713867,,0.8344665739306505,0.8339601728686388,0.8522168371447618,0.8517371389636095,11,11646330,11269542,False
1709637590.771031,1440,1709637590,777948206,,-0.23104089630799063,-0.24160832298950918,-0.22284537686066397,-0.2333862198706127,10,11879921,11741043,True
1709637590.771031,1441,1709637590,780028104,,0.8349729749926622,0.8344131681689317,0.8526431295641954,0.8522568914660509,10,12117870,11741044,False
1709637590.7811115,1442,1709637590,783710893,,-0.22224575413422354,-0.23266655338959463,-0.21378368271546133,-0.22424465550141104,11,12352092,12212545,True
1709637590.8012753,1443,1709637590,807869299,,0.8355327818163927,0.8351327154406603,0.853069421983629,0.8527098867663438,11,12589424,12212545,False
1709637590.8012753,1444,1709637590,807877146,,-0.21354383362488516,-0.2238715304251171,-0.20481532944397696,-0.2152228964682079,10,12824257,12684048,True
1709637590.8113637,1445,1709637590,816190839,,0.835852739549547,0.8355728361376817,0.8533359739550646,0.8531361791857774,10,13060963,12684049,False
1709637590.8315582,1446,1709637590,837382201,,-0.20485538376526602,-0.2151296748037792,-0.19592696560578116,-0.2063478840704418,11,13296412,13155546,True
1709637590.8315582,1447,1709637590,841104160,,0.8360391828784044,0.8358260366686876,0.8534561369189317,0.8533226225146349,11,13532480,13155547,False
1709637590.8416476,1448,1709637590,843707431,,-0.1962601555700756,-0.20657438172058828,-0.18737167252259024,-0.19764596356110342,10,13768560,13627052,True
1709637590.8618064,1449,1709637590,868860804,,0.8359056684741075,0.835679170823961,0.8534294340380724,0.8532696935900743,10,14003975,13627054,False
1709637590.8618064,1450,1709637590,868861938,,-0.18790477646546133,-0.19820565117554434,-0.17890972031311758,-0.189050735365913,11,14240695,14098557,True
1709637590.8718867,1451,1709637590,875652174,,0.8362122747668321,0.8360792371996935,0.8536025259265001,0.8535095426806505,11,14475509,14098558,False
1709637590.892112,1452,1709637590,899846649,,-0.179509343039558,-0.1896237744207836,-0.1702211512442089,-0.18033558262543448,10,14712844,14570066,True
